asset,timeframe,strategy,direction,entry,sl,tp,grid_level,level_idx,size,risk,rr,entry_bar,entry_time,regime,range_pct,exit,exit_time,close_reason,pnl,pnl_pct,balance_after,drawdown_pct
INJ,15m,GRID_BOT,SELL,3.112,3.12307374,3.08474336,3.1141028,1,2010.3817828937324,22.26244516450175,3.273,30876,2026-03-04 23:00:00+00:00,RANGE,0.022229,3.12307374,2026-03-04 23:45:00+00:00,SL,-22.26244516450175,-0.35583997429306086,11108.960137086371,1.194015976019199
INJ,15m,GRID_BOT,SELL,3.119,3.13153822,3.08664288,3.1210308,2,1772.015507318683,22.217920274172744,3.273,30884,2026-03-05 01:00:00+00:00,RANGE,0.02687,3.08664288,2026-03-05 01:30:00+00:00,TP,57.337318412172124,1.037419685796741,11166.297455498543,0.6840429364996933
INJ,15m,GRID_BOT,SELL,3.105,3.1185597,3.0727488,3.107838,2,1646.9829650358772,22.332594910997088,3.273,30888,2026-03-05 02:00:00+00:00,RANGE,0.027642,3.0727488,2026-03-05 03:15:00+00:00,TP,53.117177001965324,1.038685990338169,11219.414632500508,0.2116049335281943
INJ,15m,GRID_BOT,SELL,3.085,3.09844446,3.05357544,3.0879432,1,1661.1001788838612,22.332594910997088,3.273,30892,2026-03-05 03:00:00+00:00,RANGE,0.026992,3.09844446,2026-03-05 04:45:00+00:00,SL,-22.332594910997088,-0.43580097244732907,11197.082037589511,0.4102368476551915
INJ,15m,GRID_BOT,SELL,3.105,3.11581086,3.08227824,3.1079628,4,2071.450751853164,22.394164075179024,3.273,30919,2026-03-05 09:45:00+00:00,RANGE,0.0193,3.11581086,2026-03-05 10:30:00+00:00,SL,-22.39416407517902,-0.34817584541062374,11174.687873514333,0.6094163739598738
INJ,15m,GRID_BOT,SELL,3.034,3.04239444,3.01791496,3.0366652,4,2662.402226596254,22.349375747028667,3.273,30987,2026-03-06 02:45:00+00:00,RANGE,0.013329,3.01791496,2026-03-06 04:30:00+00:00,TP,42.82484631088891,0.5301595253790264,11217.512719825221,0.22852104008455879
INJ,15m,GRID_BOT,SELL,2.881,2.891763,2.854398,2.883018,3,2084.4583703103053,22.435025439650442,3.273,31054,2026-03-06 19:30:00+00:00,RANGE,0.023935,2.891763,2026-03-06 20:00:00+00:00,SL,-22.435025439650442,-0.37358556056925724,11195.07769438557,0.42806399800438943
INJ,15m,GRID_BOT,SELL,2.9,2.90787348,2.88362712,2.9021988,3,2843.743222662729,22.39015538877114,3.273,31084,2026-03-07 03:00:00+00:00,RANGE,0.013903,2.88362712,2026-03-07 04:00:00+00:00,TP,46.560266535470234,0.5645820689655184,11241.637960921042,0.0139448640183157
INJ,15m,GRID_BOT,SELL,2.895,2.9028072,2.8767128,2.8967,4,2879.8129831236142,22.483275921842083,3.273,31118,2026-03-07 11:30:00+00:00,RANGE,0.015395,2.8767128,2026-03-07 14:00:00+00:00,TP,52.663715984978325,0.6316822107081195,11294.30167690602,0.0
INJ,15m,GRID_BOT,SELL,2.874,2.88157724,2.85642096,2.8756896,2,2981.112298648661,22.58860335381204,3.273,31132,2026-03-07 15:00:00+00:00,RANGE,0.014685,2.85642096,2026-03-07 15:30:00+00:00,TP,52.40509234243739,0.6116576200417609,11346.706769248456,0.0
INJ,15m,GRID_BOT,SELL,2.8,2.80912934,2.78175936,2.8027236,2,2485.767157154419,22.693413538496912,3.273,31186,2026-03-08 04:30:00+00:00,RANGE,0.016876,2.80912934,2026-03-08 05:15:00+00:00,SL,-22.693413538496912,-0.3260478571428685,11324.01335570996,0.19999999999999477
INJ,15m,GRID_BOT,SELL,2.823,2.83176112,2.80108328,2.8245812,3,2585.060667063119,22.64802671141992,3.273,31201,2026-03-08 08:15:00+00:00,RANGE,0.019348,2.83176112,2026-03-08 09:00:00+00:00,SL,-22.64802671141992,-0.31034785688983196,11301.36532899854,0.3995999999999976
INJ,15m,GRID_BOT,SELL,2.84,2.84926294,2.81617776,2.8415196,2,2440.1249126083812,22.60273065799708,3.273,31214,2026-03-08 11:30:00+00:00,RANGE,0.020929,2.84926294,2026-03-08 12:15:00+00:00,SL,-22.60273065799708,-0.32615985915493534,11278.762598340543,0.5988007999999907
INJ,15m,GRID_BOT,SELL,2.824,2.8338069,2.7997836,2.825844,1,2300.1687787864607,22.557525196681087,3.273,31225,2026-03-08 14:15:00+00:00,RANGE,0.021654,2.7997836,2026-03-08 16:30:00+00:00,TP,55.701807214603996,0.8575212464589166,11334.464405555147,0.10789354076275194
INJ,15m,GRID_BOT,SELL,2.842,2.8521999,2.8182236,2.844248,4,2222.465789969554,22.668928811110295,3.273,31250,2026-03-08 20:30:00+00:00,RANGE,0.021848,2.8182236,2026-03-08 21:00:00+00:00,TP,52.84223560863217,0.8366080225193537,11387.30664116378,0.0
INJ,15m,GRID_BOT,SELL,2.842,2.85608198,2.80798312,2.8448248,3,1617.287716807426,22.774613282327557,3.273,31278,2026-03-09 03:30:00+00:00,RANGE,0.032628,2.85608198,2026-03-09 04:15:00+00:00,SL,-22.774613282327557,-0.49549542575650335,11364.532027881452,0.19999999999999293
INJ,15m,GRID_BOT,SELL,2.883,2.8933307,2.8573428,2.884908,2,2200.1475268629515,22.729064055762905,3.273,31310,2026-03-09 11:30:00+00:00,RANGE,0.022727,2.8933307,2026-03-09 12:15:00+00:00,SL,-22.729064055762905,-0.3583315990287865,11341.80296382569,0.39959999999998624
INJ,15m,GRID_BOT,SELL,2.906,2.91858126,2.87405064,2.9081592,1,1802.9677415180922,22.68360592765138,3.273,31357,2026-03-09 23:15:00+00:00,RANGE,0.02867,2.91858126,2026-03-10 00:15:00+00:00,SL,-22.68360592765138,-0.43294081211285973,11319.119357898038,0.5988007999999919
INJ,15m,GRID_BOT,SELL,2.923,2.93226626,2.89902504,2.9244864,2,2443.082615402131,22.638238715796078,3.273,31383,2026-03-10 05:45:00+00:00,RANGE,0.020331,2.93226626,2026-03-10 07:15:00+00:00,SL,-22.638238715796078,-0.31701197399931474,11296.481119182243,0.7976031983999871
INJ,15m,GRID_BOT,SELL,2.958,2.97022626,2.92848744,2.9604576,3,1847.9046117426599,22.592962238364485,3.273,31404,2026-03-10 11:00:00+00:00,RANGE,0.026433,2.97022626,2026-03-10 12:30:00+00:00,SL,-22.592962238364485,-0.4133286004056735,11273.888156943878,0.9960079920031885
INJ,15m,GRID_BOT,SELL,2.974,2.98313166,2.95266344,2.9760008,4,2469.187016806122,22.547776313887756,3.273,31418,2026-03-10 14:30:00+00:00,RANGE,0.018089,2.98313166,2026-03-10 14:45:00+00:00,SL,-22.547776313887756,-0.3070497646267648,11251.34038062999,1.194015976019183
INJ,15m,GRID_BOT,SELL,2.94,2.94817224,2.92103256,2.9418204,3,2753.5511391320056,22.50268076125998,3.273,31459,2026-03-11 00:45:00+00:00,RANGE,0.015791,2.92103256,2026-03-11 02:15:00+00:00,TP,52.22781601841782,0.6451510204081614,11303.568196648408,0.7353665546571522
INJ,15m,GRID_BOT,SELL,2.922,2.92895814,2.90888256,2.9242596,2,3249.020053246504,22.607136393296816,3.273,31465,2026-03-11 02:15:00+00:00,RANGE,0.010642,2.92895814,2026-03-11 03:00:00+00:00,SL,-22.607136393296816,-0.23812936344969393,11280.961060255111,0.9338958215478391
INJ,15m,GRID_BOT,SELL,2.945,2.95928058,2.90902912,2.9475196,1,1575.7539792683124,22.50268076125998,3.273,31438,2026-03-10 19:30:00+00:00,RANGE,0.032401,2.90902912,2026-03-11 05:30:00+00:00,TP,56.681257297782665,1.2214220713072943,11337.642317552894,0.4361375799906372
INJ,15m,GRID_BOT,SELL,2.922,2.92949116,2.90800464,2.9244624,2,3011.8061983071693,22.56192212051022,3.273,31477,2026-03-11 05:15:00+00:00,RANGE,0.011676,2.90800464,2026-03-11 05:30:00+00:00,TP,42.15131199554026,0.47896509240246443,11379.793629548434,0.06597707299974134
INJ,15m,GRID_BOT,SELL,2.927,2.93516132,2.90804608,2.9288152,3,2788.7139897830843,22.759587259096868,3.273,31483,2026-03-11 06:45:00+00:00,RANGE,0.015862,2.93516132,2026-03-11 07:15:00+00:00,SL,-22.759587259096868,-0.2788288349846306,11357.034042289337,0.2658451188537458
INJ,15m,GRID_BOT,SELL,2.933,2.94105804,2.91862776,2.9358084,3,2818.8080581106283,22.714068084578674,3.273,31501,2026-03-11 11:15:00+00:00,RANGE,0.012358,2.94105804,2026-03-11 12:00:00+00:00,SL,-22.714068084578674,-0.2747371292192405,11334.319974204758,0.4653134286160384
INJ,15m,GRID_BOT,SELL,3.014,3.02291418,2.99612512,3.0166444,4,2542.986561681417,22.668639948409517,3.273,31543,2026-03-11 21:45:00+00:00,RANGE,0.015116,3.02291418,2026-03-11 23:00:00+00:00,SL,-22.668639948409517,-0.2957591240875947,11311.651334256348,0.6643828017588078
INJ,15m,GRID_BOT,SELL,3.011,3.01814698,2.99885912,3.0136328,3,3165.4352843456913,22.623302668512697,3.273,31552,2026-03-12 00:00:00+00:00,RANGE,0.009683,2.99885912,2026-03-12 01:00:00+00:00,TP,38.431169935006984,0.40321753570242513,11350.082504191356,0.326891495464454
INJ,15m,GRID_BOT,SELL,3.003,3.00993938,2.99065152,3.0054252,2,3260.1331341579353,22.623302668512697,3.273,31554,2026-03-12 00:30:00+00:00,RANGE,0.009683,2.99065152,2026-03-12 01:00:00+00:00,TP,40.25768880448656,0.41120479520479497,11390.340192995842,0.0
INJ,15m,GRID_BOT,SELL,2.999,3.00602722,2.98298688,3.0006348,2,3241.7770307450232,22.780680385991683,3.273,31558,2026-03-12 01:30:00+00:00,RANGE,0.012387,2.98298688,2026-03-12 02:30:00+00:00,TP,51.91096460656444,0.5339486495498571,11442.251157602406,0.0
INJ,15m,GRID_BOT,SELL,2.978,2.98727076,2.95813264,2.9804512,1,2468.460224965971,22.884502315204813,3.273,31564,2026-03-12 03:00:00+00:00,RANGE,0.016812,2.98727076,2026-03-12 03:30:00+00:00,SL,-22.884502315204813,-0.3113082605775591,11419.366655287202,0.19999999999999615
INJ,15m,GRID_BOT,SELL,2.984,2.99277972,2.96739408,2.9868384,1,2606.518467013117,22.884502315204813,3.273,31562,2026-03-12 02:30:00+00:00,RANGE,0.014085,2.96739408,2026-03-12 05:00:00+00:00,TP,43.283637141742304,0.5564986595174243,11462.650292428943,0.0
INJ,15m,GRID_BOT,SELL,2.974,2.98178808,2.95642312,2.9758516,1,2932.524230692989,22.838733310574405,3.273,31571,2026-03-12 04:45:00+00:00,RANGE,0.014137,2.95642312,2026-03-12 05:15:00+00:00,TP,51.54462649998303,0.5910181573638202,11514.194918928926,0.0
INJ,15m,GRID_BOT,SELL,2.983,2.99191978,2.96422832,2.9854388,3,2581.7217283227064,23.02838983785785,3.273,31579,2026-03-12 06:45:00+00:00,RANGE,0.0159,2.99191978,2026-03-12 07:15:00+00:00,SL,-23.02838983785785,-0.29902044921219656,11491.166529091068,0.20000000000000487
INJ,15m,GRID_BOT,SELL,3.005,3.01351626,2.98672344,3.0072456,3,2698.641546662771,22.982333058182135,3.273,31608,2026-03-12 14:00:00+00:00,RANGE,0.015106,2.98672344,2026-03-12 14:15:00+00:00,TP,49.32188414607462,0.6082049916805287,11540.488413237143,0.0
INJ,15m,GRID_BOT,SELL,2.981,2.99002524,2.96276336,2.9836448,1,2557.380947927577,23.080976826474284,3.273,31609,2026-03-12 14:15:00+00:00,RANGE,0.015447,2.96276336,2026-03-12 14:30:00+00:00,TP,46.63803569021403,0.6117624958067771,11587.126448927356,0.0
INJ,15m,GRID_BOT,SELL,2.966,2.97694146,2.94076744,2.9684752,1,2118.02199138463,23.174252897854714,3.273,31610,2026-03-12 14:30:00+00:00,RANGE,0.021967,2.97694146,2026-03-12 14:45:00+00:00,SL,-23.174252897854714,-0.3688961564396404,11563.952196029502,0.19999999999999277
INJ,15m,GRID_BOT,SELL,2.979,2.98875752,2.95588008,2.9810628,2,2370.2646156051014,23.127904392059005,3.273,31616,2026-03-12 16:00:00+00:00,RANGE,0.019601,2.98875752,2026-03-12 16:15:00+00:00,SL,-23.127904392059005,-0.32754347096340936,11540.824291637444,0.39959999999998896
INJ,15m,GRID_BOT,SELL,3.122,3.1302693,3.1042172,3.124172,4,2791.2457624314234,23.081648583274887,3.273,31671,2026-03-13 05:45:00+00:00,RANGE,0.013934,3.1302693,2026-03-13 08:30:00+00:00,SL,-23.081648583274887,-0.2648718770019301,11517.74264305417,0.5988007999999876
INJ,15m,GRID_BOT,SELL,3.117,3.12421176,3.10143744,3.1188816,3,3194.155835206378,23.03548528610834,3.273,31686,2026-03-13 09:30:00+00:00,RANGE,0.011628,3.12421176,2026-03-13 09:45:00+00:00,SL,-23.03548528610834,-0.23136862367661606,11494.70715776806,0.7976031983999949
INJ,15m,GRID_BOT,SELL,3.111,3.12014178,3.09218712,3.1135992,2,2514.7634613321156,22.98941431553612,3.273,31694,2026-03-13 11:30:00+00:00,RANGE,0.015181,3.12014178,2026-03-13 12:00:00+00:00,SL,-22.98941431553612,-0.2938534233365402,11471.717743452524,0.9960079920031948
INJ,15m,GRID_BOT,SELL,3.128,3.13931854,3.10380816,3.1310076,2,2027.0666964913385,22.94343548690505,3.273,31711,2026-03-13 15:45:00+00:00,RANGE,0.020277,3.10380816,2026-03-13 16:15:00+00:00,TP,49.038473190847625,0.7733964194373496,11520.75621664337,0.5727928540050533
