2026-06-04 08:26:09.372 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 08:26:09.772 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 08:31:09.774 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #27 ---
2026-06-04 08:31:09.776 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 08:31:09.778 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 08:31:10.176 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 08:36:10.176 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #28 ---
2026-06-04 08:36:10.179 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 08:36:10.181 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 08:36:10.593 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 08:41:10.593 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #29 ---
2026-06-04 08:41:10.597 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 08:41:10.598 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 08:41:10.987 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 08:46:10.989 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #30 ---
2026-06-04 08:46:10.994 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 08:46:10.999 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 08:46:11.405 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 08:51:11.406 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #31 ---
2026-06-04 08:51:11.408 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 08:51:11.410 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 08:51:11.835 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 08:56:11.835 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #32 ---
2026-06-04 08:56:11.839 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 08:56:11.840 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 08:56:12.246 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 09:01:12.246 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #33 ---
2026-06-04 09:01:12.249 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 09:01:12.251 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 09:01:12.659 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 09:06:12.659 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #34 ---
2026-06-04 09:06:12.661 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 09:06:12.663 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 09:06:13.056 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 09:11:13.057 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #35 ---
2026-06-04 09:11:13.061 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 09:11:13.063 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 09:11:13.468 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 09:16:13.470 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #36 ---
2026-06-04 09:16:13.474 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
