2026-04-27 21:23:05.242 | INFO     | __main__:main:330 - Cycle 575 complete | Evaluated: 0 | Executed: 0 | Open: 4 | Exposure: $71.84 | Balance: $709.27 | PnL: $-218.89 | Next scan in 300s
2026-04-27 21:28:08.453 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 4 qualifying markets
2026-04-27 21:28:08.460 | INFO     | __main__:main:194 - Cycle 576: Scanned 4 markets, saved 4
2026-04-27 21:28:09.511 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $65,000 @ 20.0% < Threshold $75,000 @ 50.5% [VIOLACIÓN 30.5%] → Buy NO of high market | "Will Bitcoin dip to $75,000 in April?"
2026-04-27 21:28:09.511 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $65,000 @ 20.0% < Threshold $76,000 @ 78.5% [VIOLACIÓN 58.5%] → Buy NO of high market | "Will the price of Bitcoin be above $76,000 on April 28?"
2026-04-27 21:28:09.512 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $65,000 @ 20.0% < Threshold $80,000 @ 25.5% [VIOLACIÓN 5.5%] → Buy NO of high market | "Will Bitcoin reach $80,000 in April?"
2026-04-27 21:28:09.513 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $75,000 @ 50.5% < Threshold $76,000 @ 78.5% [VIOLACIÓN 28.0%] → Buy NO of high market | "Will the price of Bitcoin be above $76,000 on April 28?"
2026-04-27 21:28:09.513 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $76,000 @ 23.0% < Threshold $76,000 @ 78.5% [VIOLACIÓN 55.5%] → Buy NO of high market | "Will the price of Bitcoin be above $76,000 on April 28?"
2026-04-27 21:28:09.513 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | ETH | Threshold $2,000 @ 20.1% < Threshold $2,400 @ 40.0% [VIOLACIÓN 20.0%] → Buy NO of high market | "Will the price of Ethereum be above $2,400 on April 28?"
2026-04-27 21:28:09.516 | INFO     | __main__:main:330 - Cycle 576 complete | Evaluated: 0 | Executed: 0 | Open: 4 | Exposure: $71.84 | Balance: $709.27 | PnL: $-218.89 | Next scan in 300s
