2026-05-19 08:10:28.456 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 08:15:28.457 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2597 ---
2026-05-19 08:15:28.460 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 08:15:29.166 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P @0.0050BTC (-72%) | AY26-67000-P @0.0017BTC (+6%)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 08:15:29.167 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 08:20:29.167 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2598 ---
2026-05-19 08:20:29.169 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 08:20:29.918 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P @0.0050BTC (-72%) | AY26-67000-P @0.0017BTC (+6%)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 08:20:29.918 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 08:25:29.919 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2599 ---
2026-05-19 08:25:29.926 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 08:25:30.327 | INFO     | strategies.theta_farming:evaluate:198 - THETA: max posiciones abiertas (2/2) — skip
2026-05-19 08:25:30.328 | INFO     | agents.options_agent:_scan_new_entry:284 - SCAN: sin señal de theta farming
2026-05-19 08:25:30.600 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P @0.0052BTC (-79%) | AY26-67000-P @0.0018BTC (+0%)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 08:25:30.600 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 08:30:30.600 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2600 ---
2026-05-19 08:30:30.605 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 08:30:31.305 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P @0.0052BTC (-79%) | AY26-67000-P @0.0017BTC (+6%)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 08:30:31.305 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 08:35:31.307 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2601 ---
2026-05-19 08:35:31.316 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 08:35:32.008 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P @0.0051BTC (-76%) | AY26-67000-P @0.0017BTC (+6%)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 08:35:32.009 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 08:40:32.011 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2602 ---
2026-05-19 08:40:32.013 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 08:40:32.702 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P @0.0050BTC (-72%) | AY26-67000-P @0.0017BTC (+6%)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 08:40:32.702 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 08:45:32.703 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2603 ---
2026-05-19 08:45:32.708 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 08:45:33.373 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P @0.0049BTC (-69%) | AY26-67000-P @0.0016BTC (+11%)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 08:45:33.373 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 08:50:33.374 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2604 ---
2026-05-19 08:50:33.377 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 08:50:34.040 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P @0.0050BTC (-72%) | AY26-67000-P @0.0017BTC (+6%)] | balance=$1717.06 | PnL=$+1308.70 | margin=$1592
2026-05-19 08:50:34.040 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 08:55:34.040 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2605 ---
2026-05-19 08:55:34.043 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 08:55:34.478 | INFO     | strategies.theta_farming:evaluate:198 - THETA: max posiciones abiertas (2/2) — skip
2026-05-19 08:55:34.479 | INFO     | agents.options_agent:_scan_new_entry:284 - SCAN: sin señal de theta farming
2026-05-19 08:55:41.587 | INFO     | agents.options_agent:_save_iv_snapshot:393 - IV SNAPSHOT: 20 instrumentos guardados
